date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
20:47:41	25941/25941	--FM--	200	added ('OK')	text/html		file:///home/hari/Videos/11d.html	/home/hari/websites/h9studio/file/home/hari/Videos/11d.html	(from )
20:47:43	159515/159515	---M-Z	200	added ('OK')	text/css	etag:%221574963566%22	https://maxcdn.bootstrapcdn.com/bootstrap/4.4.1/css/bootstrap.min.css	/home/hari/websites/h9studio/maxcdn.bootstrapcdn.com/bootstrap/4.4.1/css/bootstrap.min.css	(from )
20:47:45	5259/5259	---MCZ	200	added ('OK')	text/css	etag:W/%225afd4985-148b%22	https://cdnjs.cloudflare.com/ajax/libs/magnific-popup.js/1.1.0/magnific-popup.min.css	/home/hari/websites/h9studio/cdnjs.cloudflare.com/ajax/libs/magnific-popup.js/1.1.0/magnific-popup.min.css	(from )
20:47:45	44271/44271	--FM--	200	added ('OK')	text/html		file:///home/hari/Videos/10d.html	/home/hari/websites/h9studio/file/home/hari/Videos/10d.html	(from )
20:47:45	39031/39031	--FM--	200	added ('OK')	text/html		file:///home/hari/Videos/12d.html	/home/hari/websites/h9studio/file/home/hari/Videos/12d.html	(from )
20:47:45	4091/4091	--FM--	200	added ('OK')	text/html		file:///home/hari/Videos/contact.html	/home/hari/websites/h9studio/file/home/hari/Videos/contact.html	(from )
20:47:47	21257/21257	---MCZ	200	added ('OK')	application/javascript	etag:W/%225dd44a9e-5309%22	https://cdnjs.cloudflare.com/ajax/libs/popper.js/1.16.0/umd/popper.min.js	/home/hari/websites/h9studio/cdnjs.cloudflare.com/ajax/libs/popper.js/1.16.0/umd/popper.min.js	(from )
20:47:47	60010/60010	---M-Z	200	added ('OK')	text/javascript	etag:%221574963572%22	https://maxcdn.bootstrapcdn.com/bootstrap/4.4.1/js/bootstrap.min.js	/home/hari/websites/h9studio/maxcdn.bootstrapcdn.com/bootstrap/4.4.1/js/bootstrap.min.js	(from )
20:47:48	88145/88145	---MC-	200	added ('OK')	text/javascript	date:Mon,%2013%20May%202019%2014:37:17%20GMT	https://ajax.googleapis.com/ajax/libs/jquery/3.4.1/jquery.min.js	/home/hari/websites/h9studio/ajax.googleapis.com/ajax/libs/jquery/3.4.1/jquery.min.js	(from )
20:47:49	20216/20216	---MCZ	200	added ('OK')	application/javascript	etag:W/%225afd4985-4ef8%22	https://cdnjs.cloudflare.com/ajax/libs/magnific-popup.js/1.1.0/jquery.magnific-popup.min.js	/home/hari/websites/h9studio/cdnjs.cloudflare.com/ajax/libs/magnific-popup.js/1.1.0/jquery.magnific-popup.min.js	(from )
20:47:50	39579/39579	--FM--	200	added ('OK')	text/html		file:///home/hari/Videos/contact_files/embed.html	/home/hari/websites/h9studio/file/home/hari/Videos/contact_files/embed.html	(from )
20:47:50	2519/2519	--FM--	200	added ('OK')	text/html		file:///home/hari/Videos/signup.html	/home/hari/websites/h9studio/file/home/hari/Videos/signup.html	(from )
20:47:50	2203/2203	--FM--	200	added ('OK')	text/html		file:///home/hari/Videos/klc.html	/home/hari/websites/h9studio/file/home/hari/Videos/klc.html	(from )
20:47:51	12310/12310	---MCZ	200	added ('OK')	application/javascript	etag:W/%225e15df52-3016%22	https://ajax.cloudflare.com/cdn-cgi/scripts/7089c43e/cloudflare-static/rocket-loader.min.js	/home/hari/websites/h9studio/ajax.cloudflare.com/cdn-cgi/scripts/7089c43e/cloudflare-static/rocket-loader.min.js	(from )
20:47:51	4765/4765	---M--	200	added ('OK')	image/png	date:Thu,%2017%20Oct%202019%2023:15:00%20GMT	https://maps.gstatic.com/mapfiles/embed/images/entity11.png	/home/hari/websites/h9studio/maps.gstatic.com/mapfiles/embed/images/entity11.png	(from )
